"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Abla";"1248";"43";"2";"160.25641025641025";"0";"43";"24";"1";"18/02/2021"
"Abrucena";"1183";"48";"7";"591.71597633136093";"4";"48";"36";"1";"18/02/2021"
"Alboloduy";"609";"4";"0";"0";"0";"4";"3";"0";"18/02/2021"
"Alcudia de Monteagud";"138";"0";"0";"0";"0";"0";"0";"0";"18/02/2021"
"Alhabia";"677";"14";"0";"0";"0";"15";"11";"0";"18/02/2021"
"Alhama de Almería";"3691";"263";"21";"568.95150365754535";"6";"265";"138";"5";"18/02/2021"
"Alicún";"201";"4";"1";"497.5124378109453";"0";"4";"0";"0";"18/02/2021"
"Almería (capital)";"201322";"13378";"1212";"602.02064354615993";"315";"13534";"7488";"148";"18/02/2021"
"Almócita";"176";"5";"0";"0";"0";"5";"0";"1";"18/02/2021"
"Alsodux";"125";"1";"0";"0";"0";"1";"1";"0";"18/02/2021"
"Beires";"120";"5";"0";"0";"0";"5";"4";"0";"18/02/2021"
"Benahadux";"4481";"316";"18";"401.69604998884176";"4";"317";"140";"3";"18/02/2021"
"Benitagla";"58";"0";"0";"0";"0";"0";"0";"0";"18/02/2021"
"Benizalón";"262";"2";"1";"381.67938931297709";"0";"2";"1";"0";"18/02/2021"
"Bentarique";"240";"11";"0";"0";"0";"11";"6";"0";"18/02/2021"
"Canjáyar";"1189";"27";"3";"252.31286795626576";"2";"27";"11";"1";"18/02/2021"
"Carboneras";"8105";"697";"48";"592.22702035780378";"11";"699";"213";"7";"18/02/2021"
"Castro de Filabres";"120";"1";"0";"0";"0";"1";"1";"0";"18/02/2021"
"Fiñana";"1984";"222";"7";"352.82258064516128";"1";"222";"95";"3";"18/02/2021"
"Gádor";"3034";"197";"9";"296.6381015161503";"1";"198";"128";"0";"18/02/2021"
"Gérgal";"1080";"32";"4";"370.37037037037038";"3";"32";"22";"4";"18/02/2021"
"Huécija";"486";"16";"1";"205.76131687242798";"0";"16";"12";"0";"18/02/2021"
"Huércal de Almería";"17917";"1042";"129";"719.98660490037389";"42";"1049";"525";"10";"18/02/2021"
"Íllar";"405";"59";"0";"0";"0";"61";"45";"11";"18/02/2021"
"Instinción";"448";"14";"0";"0";"0";"14";"6";"0";"18/02/2021"
"Lubrín";"1449";"38";"0";"0";"0";"38";"33";"1";"18/02/2021"
"Lucainena de las Torres";"564";"5";"0";"0";"0";"5";"1";"0";"18/02/2021"
"Nacimiento";"496";"5";"1";"201.61290322580646";"0";"5";"3";"0";"18/02/2021"
"Níjar";"31666";"2144";"141";"445.27253205330641";"31";"2148";"1213";"28";"18/02/2021"
"Ohanes";"558";"8";"2";"358.42293906810033";"1";"8";"6";"0";"18/02/2021"
"Olula de Castro";"191";"1";"0";"0";"0";"1";"1";"0";"18/02/2021"
"Padules";"414";"20";"0";"0";"0";"20";"14";"0";"18/02/2021"
"Pechina";"4103";"220";"13";"316.84133560809164";"3";"223";"97";"6";"18/02/2021"
"Rágol";"303";"16";"0";"0";"0";"17";"12";"2";"18/02/2021"
"Rioja";"1453";"57";"5";"344.11562284927737";"1";"57";"24";"0";"18/02/2021"
"Santa Cruz de Marchena";"199";"6";"0";"0";"0";"6";"2";"0";"18/02/2021"
"Santa Fe de Mondújar";"461";"14";"1";"216.91973969631238";"0";"14";"10";"0";"18/02/2021"
"Senés";"289";"9";"7";"2422.1453287197232";"1";"9";"0";"0";"18/02/2021"
"Sorbas";"2436";"98";"4";"164.20361247947454";"1";"98";"36";"1";"18/02/2021"
"Tabernas";"3717";"182";"17";"457.35808447672855";"4";"182";"57";"1";"18/02/2021"
"Tahal";"336";"7";"1";"297.61904761904759";"0";"7";"5";"0";"18/02/2021"
"Terque";"365";"35";"0";"0";"0";"35";"31";"4";"18/02/2021"
"Tres Villas (Las)";"565";"8";"0";"0";"0";"8";"6";"1";"18/02/2021"
"Turrillas";"248";"3";"2";"806.45161290322585";"0";"3";"0";"1";"18/02/2021"
"Uleila del Campo";"822";"11";"0";"0";"0";"11";"6";"0";"18/02/2021"
"Velefique";"230";"1";"0";"0";"0";"1";"0";"0";"18/02/2021"
"Viator";"5978";"380";"51";"853.1281365005018";"19";"380";"166";"6";"18/02/2021"
"Albanchez";"687";"10";"0";"0";"0";"11";"9";"0";"18/02/2021"
"Albox";"12083";"1043";"39";"322.76752462136886";"6";"1043";"857";"17";"18/02/2021"
"Alcóntar";"514";"10";"0";"0";"0";"10";"9";"0";"18/02/2021"
"Antas";"3315";"416";"44";"1327.3001508295627";"10";"416";"318";"7";"18/02/2021"
"Arboleas";"4624";"195";"4";"86.505190311418687";"0";"195";"168";"5";"18/02/2021"
"Armuña de Almanzora";"300";"24";"7";"2333.3333333333335";"0";"24";"16";"1";"18/02/2021"
"Bacares";"250";"61";"2";"800";"0";"61";"37";"8";"18/02/2021"
"Bayarque";"216";"2";"0";"0";"0";"2";"2";"0";"18/02/2021"
"Bédar";"984";"28";"5";"508.130081300813";"2";"28";"19";"0";"18/02/2021"
"Cantoria";"3365";"71";"0";"0";"0";"71";"62";"2";"18/02/2021"
"Chercos";"298";"1";"0";"0";"0";"1";"0";"0";"18/02/2021"
"Chirivel";"1489";"166";"2";"134.31833445265278";"0";"168";"144";"8";"18/02/2021"
"Cóbdar";"178";"14";"0";"0";"0";"14";"12";"0";"18/02/2021"
"Cuevas del Almanzora";"14455";"1001";"79";"546.52369422345214";"31";"1006";"765";"15";"18/02/2021"
"Fines";"2104";"106";"4";"190.11406844106463";"1";"107";"68";"2";"18/02/2021"
"Gallardos (Los)";"2902";"239";"28";"964.85182632667124";"17";"239";"189";"4";"18/02/2021"
"Garrucha";"9520";"586";"82";"861.34453781512605";"27";"588";"397";"5";"18/02/2021"
"Huércal-Overa";"19432";"1160";"90";"463.15356113627007";"31";"1170";"993";"11";"18/02/2021"
"Laroya";"198";"0";"0";"0";"0";"0";"0";"0";"18/02/2021"
"Líjar";"394";"11";"0";"0";"0";"11";"10";"1";"18/02/2021"
"Lúcar";"760";"56";"18";"2368.4210526315787";"4";"57";"38";"0";"18/02/2021"
"Macael";"5480";"264";"17";"310.21897810218979";"9";"267";"203";"7";"18/02/2021"
"María";"1230";"103";"0";"0";"0";"103";"102";"0";"18/02/2021"
"Mojácar";"6778";"529";"36";"531.13012688108586";"3";"530";"314";"14";"18/02/2021"
"Olula del Río";"6256";"367";"35";"559.46291560102304";"8";"376";"235";"2";"18/02/2021"
"Oria";"2239";"108";"5";"223.31397945511389";"0";"109";"78";"3";"18/02/2021"
"Partaloa";"1035";"37";"7";"676.32850241545896";"1";"37";"25";"1";"18/02/2021"
