"Territorio";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Vive en residencia";"Fecha"
"Almería (distrito)";"309";"0";"0";"316";"256";"58";"Residencias de mayores";"11/05/2021"
"Levante-Alto Almanzora";"47";"0";"0";"47";"27";"20";"Residencias de mayores";"11/05/2021"
"Poniente de Almería";"93";"0";"0";"93";"78";"15";"Residencias de mayores";"11/05/2021"
"Campo de Gibraltar Este";"63";"0";"0";"63";"56";"7";"Residencias de mayores";"11/05/2021"
"Campo de Gibraltar Oeste";"230";"0";"0";"237";"142";"94";"Residencias de mayores";"11/05/2021"
"Bahía de Cádiz-La Janda";"472";"1";"0";"502";"356";"119";"Residencias de mayores";"11/05/2021"
"Jerez-Costa Noroeste";"176";"0";"0";"193";"136";"56";"Residencias de mayores";"11/05/2021"
"Sierra de Cádiz";"148";"0";"0";"167";"124";"35";"Residencias de mayores";"11/05/2021"
"Córdoba (distrito)";"575";"0";"0";"617";"490";"116";"Residencias de mayores";"11/05/2021"
"Córdoba Sur";"497";"0";"0";"507";"393";"108";"Residencias de mayores";"11/05/2021"
"Guadalquivir";"155";"0";"0";"157";"114";"34";"Residencias de mayores";"11/05/2021"
"Córdoba Norte";"338";"0";"0";"341";"279";"57";"Residencias de mayores";"11/05/2021"
"Granada Sur";"82";"0";"0";"82";"69";"13";"Residencias de mayores";"11/05/2021"
"Granada Nordeste";"195";"0";"0";"195";"163";"30";"Residencias de mayores";"11/05/2021"
"Granada (distrito)";"383";"0";"0";"429";"333";"74";"Residencias de mayores";"11/05/2021"
"Metropolitano de Granada";"1074";"1";"0";"1147";"830";"263";"Residencias de mayores";"11/05/2021"
"Sierra de Huelva-Andévalo Central";"63";"0";"0";"72";"58";"13";"Residencias de mayores";"11/05/2021"
"Condado-Campiña";"112";"0";"0";"112";"73";"30";"Residencias de mayores";"11/05/2021"
"Huelva-Costa";"37";"0";"0";"38";"25";"9";"Residencias de mayores";"11/05/2021"
"Jaén Sur";"53";"0";"0";"58";"47";"11";"Residencias de mayores";"11/05/2021"
"Jaén (distrito)";"481";"0";"0";"495";"397";"98";"Residencias de mayores";"11/05/2021"
"Jaén Norte";"365";"0";"0";"420";"337";"83";"Residencias de mayores";"11/05/2021"
"Jaén Nordeste";"205";"0";"0";"227";"196";"30";"Residencias de mayores";"11/05/2021"
"La Vega";"177";"0";"0";"177";"141";"33";"Residencias de mayores";"11/05/2021"
"Axarquia";"105";"0";"0";"120";"97";"18";"Residencias de mayores";"11/05/2021"
"Valle del Guadalhorce";"150";"0";"0";"179";"131";"39";"Residencias de mayores";"11/05/2021"
"Costa del Sol";"400";"0";"0";"405";"324";"67";"Residencias de mayores";"11/05/2021"
"Málaga (distrito)";"518";"1";"1";"638";"499";"126";"Residencias de mayores";"11/05/2021"
"Serranía";"127";"0";"0";"162";"131";"31";"Residencias de mayores";"11/05/2021"
"Sevilla Sur";"592";"0";"0";"614";"491";"91";"Residencias de mayores";"11/05/2021"
