"Provincia";"Num personas con 1 dosis";"% personas con 1 dosis";"Edad";"Num personas con pauta completa";"% personas con pauta completa";"Fecha"
"Almería";"30091";"104.60613223944935";"De 80 y más años";"29491";"102.52033650837795";"17/06/2021"
"Cádiz";"57638";"107.17367050948307";"De 80 y más años";"56666";"105.36630717738936";"17/06/2021"
"Córdoba";"51798";"104.32208168855233";"De 80 y más años";"51049";"102.8135825344397";"17/06/2021"
"Granada";"52166";"103.87701865827675";"De 80 y más años";"51301";"102.15456301399868";"17/06/2021"
"Huelva";"26300";"106.45618295891519";"De 80 y más años";"25814";"104.4889698441611";"17/06/2021"
"Jaén";"43071";"101.66407024500779";"De 80 y más años";"42410";"100.1038568663551";"17/06/2021"
"Málaga";"76252";"101.12863224625669";"De 80 y más años";"74835";"99.249346825638924";"17/06/2021"
"Sevilla";"94433";"106.55105103410925";"De 80 y más años";"92862";"104.77845351867941";"17/06/2021"
"Almería";"47895";"100.76157616813582";"De 70 a 79 años";"46986";"98.84922054151852";"17/06/2021"
"Cádiz";"96333";"102.32407456582931";"De 70 a 79 años";"94772";"100.66599394550958";"17/06/2021"
"Córdoba";"64160";"99.822634346703182";"De 70 a 79 años";"63439";"98.700874381553973";"17/06/2021"
"Granada";"72056";"100.61719775462899";"De 70 a 79 años";"70802";"98.866143491496075";"17/06/2021"
"Huelva";"40301";"102.19342732528654";"De 70 a 79 años";"39677";"100.6111167461203";"17/06/2021"
"Jaén";"49523";"97.323376240542402";"De 70 a 79 años";"48839";"95.979168713766342";"17/06/2021"
"Málaga";"127982";"94.568213222200058";"De 70 a 79 años";"125395";"92.656632159192512";"17/06/2021"
"Sevilla";"148775";"101.09675797256067";"De 70 a 79 años";"146298";"99.413567453333428";"17/06/2021"
"Almería";"66653";"91.846493041201597";"De 60 a 69 años";"18667";"25.722750447843463";"17/06/2021"
"Cádiz";"131803";"94.794341237476715";"De 60 a 69 años";"39700";"28.552729051143189";"17/06/2021"
"Córdoba";"89533";"100.81069212840463";"De 60 a 69 años";"25444";"28.648959048787901";"17/06/2021"
"Granada";"97805";"96.062427563989232";"De 60 a 69 años";"29598";"29.070658259178501";"17/06/2021"
"Huelva";"52883";"96.454301712659827";"De 60 a 69 años";"14422";"26.30455797326135";"17/06/2021"
"Jaén";"72399";"101.1950687688695";"De 60 a 69 años";"20641";"28.850777144135076";"17/06/2021"
"Málaga";"159666";"86.144831828040523";"De 60 a 69 años";"45567";"24.584830533165";"17/06/2021"
"Sevilla";"195993";"96.934102239455569";"De 60 a 69 años";"55196";"27.298805096146236";"17/06/2021"
"Almería";"86999";"86.327373037766179";"De 50 a 59 años";"59161";"58.704280696183687";"17/06/2021"
"Cádiz";"167298";"88.622024928884343";"De 50 a 59 años";"104023";"55.103640803699605";"17/06/2021"
"Córdoba";"109183";"90.087956698240859";"De 50 a 59 años";"69339";"57.212284233803096";"17/06/2021"
"Granada";"119395";"85.68301697226309";"De 50 a 59 años";"76898";"55.185331371775092";"17/06/2021"
"Huelva";"68347";"88.495701263724882";"De 50 a 59 años";"39552";"51.211932877563704";"17/06/2021"
"Jaén";"87906";"87.744550027948577";"De 50 a 59 años";"51275";"51.180827277808831";"17/06/2021"
"Málaga";"210191";"84.14539922736644";"De 50 a 59 años";"128657";"51.505034127984949";"17/06/2021"
