"Fecha";"Mes";"Año";"Semana";"Nombre del Mes";"Tipo de Fecha";"cod_cuando"
"06/05/2021";5;2021;18;"Mayo";"Día natural";1
"05/05/2021";5;2021;18;"Mayo";"Día natural";2
"04/05/2021";5;2021;18;"Mayo";"Día natural";3
"03/05/2021";5;2021;18;"Mayo";"Día natural";4
"02/05/2021";5;2021;18;"Mayo";"Día natural";5
"01/05/2021";5;2021;18;"Mayo";"Día natural";6
"30/04/2021";4;2021;18;"Abril";"Día natural";7
"29/04/2021";4;2021;17;"Abril";"Día natural";8
"28/04/2021";4;2021;17;"Abril";"Día natural";9
"27/04/2021";4;2021;17;"Abril";"Día natural";10
"26/04/2021";4;2021;17;"Abril";"Día natural";11
"25/04/2021";4;2021;17;"Abril";"Día natural";12
"24/04/2021";4;2021;17;"Abril";"Día natural";13
"23/04/2021";4;2021;17;"Abril";"Día natural";14
"22/04/2021";4;2021;16;"Abril";"Día natural";15
"21/04/2021";4;2021;16;"Abril";"Día natural";16
"20/04/2021";4;2021;16;"Abril";"Día natural";17
"19/04/2021";4;2021;16;"Abril";"Día natural";18
"18/04/2021";4;2021;16;"Abril";"Día natural";19
"17/04/2021";4;2021;16;"Abril";"Día natural";20
"16/04/2021";4;2021;16;"Abril";"Día natural";21
"15/04/2021";4;2021;15;"Abril";"Día natural";22
"14/04/2021";4;2021;15;"Abril";"Día natural";23
"13/04/2021";4;2021;15;"Abril";"Día natural";24
"12/04/2021";4;2021;15;"Abril";"Día natural";25
"11/04/2021";4;2021;15;"Abril";"Día natural";26
"10/04/2021";4;2021;15;"Abril";"Día natural";27
"09/04/2021";4;2021;15;"Abril";"Día natural";28
"08/04/2021";4;2021;14;"Abril";"Día natural";29
"07/04/2021";4;2021;14;"Abril";"Día natural";30
"06/04/2021";4;2021;14;"Abril";"Día natural";31
"05/04/2021";4;2021;14;"Abril";"Día natural";32
"04/04/2021";4;2021;14;"Abril";"Día natural";33
"03/04/2021";4;2021;14;"Abril";"Día natural";34
"02/04/2021";4;2021;14;"Abril";"Día natural";35
"01/04/2021";4;2021;13;"Abril";"Día natural";36
"31/03/2021";3;2021;13;"Marzo";"Día natural";37
"30/03/2021";3;2021;13;"Marzo";"Día natural";38
"29/03/2021";3;2021;13;"Marzo";"Día natural";39
"28/03/2021";3;2021;13;"Marzo";"Día natural";40
"27/03/2021";3;2021;13;"Marzo";"Día natural";41
"26/03/2021";3;2021;13;"Marzo";"Día natural";42
"25/03/2021";3;2021;12;"Marzo";"Día natural";43
"24/03/2021";3;2021;12;"Marzo";"Día natural";44
"23/03/2021";3;2021;12;"Marzo";"Día natural";45
"22/03/2021";3;2021;12;"Marzo";"Día natural";46
"21/03/2021";3;2021;12;"Marzo";"Día natural";47
"20/03/2021";3;2021;12;"Marzo";"Día natural";48
"19/03/2021";3;2021;12;"Marzo";"Día natural";49
"18/03/2021";3;2021;11;"Marzo";"Día natural";50
"17/03/2021";3;2021;11;"Marzo";"Día natural";51
"16/03/2021";3;2021;11;"Marzo";"Día natural";52
"15/03/2021";3;2021;11;"Marzo";"Día natural";53
"14/03/2021";3;2021;11;"Marzo";"Día natural";54
"13/03/2021";3;2021;11;"Marzo";"Día natural";55
"12/03/2021";3;2021;11;"Marzo";"Día natural";56
"11/03/2021";3;2021;10;"Marzo";"Día natural";57
"10/03/2021";3;2021;10;"Marzo";"Día natural";58
"09/03/2021";3;2021;10;"Marzo";"Día natural";59
"08/03/2021";3;2021;10;"Marzo";"Día natural";60
"07/03/2021";3;2021;10;"Marzo";"Día natural";61
"06/03/2021";3;2021;10;"Marzo";"Día natural";62
"05/03/2021";3;2021;10;"Marzo";"Día natural";63
"04/03/2021";3;2021;9;"Marzo";"Día natural";64
"03/03/2021";3;2021;9;"Marzo";"Día natural";65
"02/03/2021";3;2021;9;"Marzo";"Día natural";66
"01/03/2021";3;2021;9;"Marzo";"Día natural";67
"28/02/2021";2;2021;9;"Febrero";"Día natural";68
"27/02/2021";2;2021;9;"Febrero";"Día natural";69
"26/02/2021";2;2021;9;"Febrero";"Día natural";70
"25/02/2021";2;2021;8;"Febrero";"Día natural";71
"24/02/2021";2;2021;8;"Febrero";"Día natural";72
"23/02/2021";2;2021;8;"Febrero";"Día natural";73
"22/02/2021";2;2021;8;"Febrero";"Día natural";74
"21/02/2021";2;2021;8;"Febrero";"Día natural";75
"20/02/2021";2;2021;8;"Febrero";"Día natural";76
"19/02/2021";2;2021;8;"Febrero";"Día natural";77
"18/02/2021";2;2021;7;"Febrero";"Día natural";78
"17/02/2021";2;2021;7;"Febrero";"Día natural";79
"16/02/2021";2;2021;7;"Febrero";"Día natural";80
"15/02/2021";2;2021;7;"Febrero";"Día natural";81
"14/02/2021";2;2021;7;"Febrero";"Día natural";82
"13/02/2021";2;2021;7;"Febrero";"Día natural";83
"12/02/2021";2;2021;7;"Febrero";"Día natural";84
"11/02/2021";2;2021;6;"Febrero";"Día natural";85
"10/02/2021";2;2021;6;"Febrero";"Día natural";86
"09/02/2021";2;2021;6;"Febrero";"Día natural";87
"08/02/2021";2;2021;6;"Febrero";"Día natural";88
"07/02/2021";2;2021;6;"Febrero";"Día natural";89
"06/02/2021";2;2021;6;"Febrero";"Día natural";90
"05/02/2021";2;2021;6;"Febrero";"Día natural";91
"04/02/2021";2;2021;5;"Febrero";"Día natural";92
"03/02/2021";2;2021;5;"Febrero";"Día natural";93
"02/02/2021";2;2021;5;"Febrero";"Día natural";94
"01/02/2021";2;2021;5;"Febrero";"Día natural";95
"31/01/2021";1;2021;5;"Enero";"Día natural";96
"30/01/2021";1;2021;5;"Enero";"Día natural";97
"29/01/2021";1;2021;5;"Enero";"Día natural";98
"28/01/2021";1;2021;4;"Enero";"Día natural";99
"27/01/2021";1;2021;4;"Enero";"Día natural";100
"26/01/2021";1;2021;4;"Enero";"Día natural";101
"25/01/2021";1;2021;4;"Enero";"Día natural";102
"24/01/2021";1;2021;4;"Enero";"Día natural";103
"23/01/2021";1;2021;4;"Enero";"Día natural";104
"22/01/2021";1;2021;4;"Enero";"Día natural";105
"21/01/2021";1;2021;3;"Enero";"Día natural";106
"20/01/2021";1;2021;3;"Enero";"Día natural";107
"19/01/2021";1;2021;3;"Enero";"Día natural";108
"18/01/2021";1;2021;3;"Enero";"Día natural";109
"17/01/2021";1;2021;3;"Enero";"Día natural";110
"16/01/2021";1;2021;3;"Enero";"Día natural";111
"15/01/2021";1;2021;3;"Enero";"Día natural";112
"14/01/2021";1;2021;2;"Enero";"Día natural";113
"13/01/2021";1;2021;2;"Enero";"Día natural";114
"12/01/2021";1;2021;2;"Enero";"Día natural";115
"11/01/2021";1;2021;2;"Enero";"Día natural";116
"10/01/2021";1;2021;2;"Enero";"Día natural";117
"09/01/2021";1;2021;2;"Enero";"Día natural";118
"08/01/2021";1;2021;2;"Enero";"Día natural";119
"07/01/2021";1;2021;1;"Enero";"Día natural";120
"06/01/2021";1;2021;1;"Enero";"Día natural";121
