"Fecha diagnóstico";"Territorio";"Confirmados PDIA";"Total confirmados";"Hospitalizados";"UCI";"Fallecidos"
"10/05/2021";"Andalucía";"120";"120";"3";"0";"0"
"10/05/2021";"Cádiz";"10";"10";"0";"0";"0"
"10/05/2021";"Córdoba";"13";"13";"1";"0";"0"
"10/05/2021";"Granada";"6";"6";"0";"0";"0"
"10/05/2021";"Huelva";"35";"35";"0";"0";"0"
"10/05/2021";"Jaén";"14";"14";"0";"0";"0"
"10/05/2021";"Málaga";"28";"28";"2";"0";"0"
"10/05/2021";"Sevilla";"14";"14";"0";"0";"0"
"09/05/2021";"Andalucía";"400";"400";"15";"0";"0"
"09/05/2021";"Almería";"32";"32";"2";"0";"0"
"09/05/2021";"Cádiz";"31";"31";"0";"0";"0"
"09/05/2021";"Córdoba";"40";"40";"3";"0";"0"
"09/05/2021";"Granada";"57";"57";"1";"0";"0"
"09/05/2021";"Huelva";"34";"34";"0";"0";"0"
"09/05/2021";"Jaén";"43";"43";"3";"0";"0"
"09/05/2021";"Málaga";"42";"42";"2";"0";"0"
"09/05/2021";"Sevilla";"121";"121";"4";"0";"0"
"08/05/2021";"Andalucía";"638";"638";"24";"1";"0"
"08/05/2021";"Almería";"72";"72";"2";"0";"0"
"08/05/2021";"Cádiz";"43";"43";"1";"0";"0"
"08/05/2021";"Córdoba";"36";"36";"4";"1";"0"
"08/05/2021";"Granada";"68";"68";"5";"0";"0"
"08/05/2021";"Huelva";"39";"39";"1";"0";"0"
"08/05/2021";"Jaén";"68";"68";"4";"0";"0"
"08/05/2021";"Málaga";"83";"83";"3";"0";"0"
"08/05/2021";"Sevilla";"229";"229";"4";"0";"0"
"07/05/2021";"Andalucía";"1344";"1347";"26";"1";"1"
"07/05/2021";"Almería";"75";"75";"2";"0";"0"
"07/05/2021";"Cádiz";"127";"127";"1";"0";"0"
"07/05/2021";"Córdoba";"98";"98";"1";"0";"0"
"07/05/2021";"Granada";"219";"219";"8";"0";"0"
"07/05/2021";"Huelva";"99";"100";"0";"0";"0"
"07/05/2021";"Jaén";"115";"116";"5";"1";"1"
"07/05/2021";"Málaga";"221";"222";"1";"0";"0"
"07/05/2021";"Sevilla";"390";"390";"8";"0";"0"
"06/05/2021";"Andalucía";"1243";"1243";"31";"1";"0"
"06/05/2021";"Almería";"88";"88";"1";"0";"0"
"06/05/2021";"Cádiz";"92";"92";"3";"0";"0"
"06/05/2021";"Córdoba";"91";"91";"2";"0";"0"
"06/05/2021";"Granada";"248";"248";"8";"0";"0"
"06/05/2021";"Huelva";"84";"84";"2";"0";"0"
"06/05/2021";"Jaén";"144";"144";"5";"0";"0"
"06/05/2021";"Málaga";"180";"180";"3";"0";"0"
"06/05/2021";"Sevilla";"316";"316";"7";"1";"0"
"05/05/2021";"Andalucía";"1445";"1445";"46";"2";"2"
"05/05/2021";"Almería";"87";"87";"4";"0";"0"
"05/05/2021";"Cádiz";"60";"60";"0";"0";"0"
"05/05/2021";"Córdoba";"117";"117";"6";"0";"1"
"05/05/2021";"Granada";"277";"277";"11";"2";"1"
"05/05/2021";"Huelva";"92";"92";"3";"0";"0"
"05/05/2021";"Jaén";"147";"147";"6";"0";"0"
"05/05/2021";"Málaga";"252";"252";"8";"0";"0"
"05/05/2021";"Sevilla";"413";"413";"8";"0";"0"
"04/05/2021";"Andalucía";"1440";"1441";"74";"3";"2"
"04/05/2021";"Almería";"93";"93";"11";"1";"0"
"04/05/2021";"Cádiz";"83";"83";"2";"0";"0"
"04/05/2021";"Córdoba";"100";"100";"6";"1";"1"
"04/05/2021";"Granada";"340";"340";"14";"0";"0"
"04/05/2021";"Huelva";"80";"80";"5";"1";"0"
"04/05/2021";"Jaén";"98";"98";"5";"0";"0"
"04/05/2021";"Málaga";"232";"233";"12";"0";"0"
"04/05/2021";"Sevilla";"414";"414";"19";"0";"1"
"03/05/2021";"Andalucía";"996";"996";"64";"2";"5"
"03/05/2021";"Almería";"53";"53";"5";"0";"0"
"03/05/2021";"Cádiz";"76";"76";"4";"0";"0"
"03/05/2021";"Córdoba";"66";"66";"8";"1";"0"
"03/05/2021";"Granada";"253";"253";"16";"0";"3"
