nombre_municipio;cod_donde_municipio;codigo_municipio_ine;distrito_sanitario;nombre_provincia;cod_provincia
Abla;1;001;Almería (distrito);Almería;4
Abrucena;2;002;Almería (distrito);Almería;4
Alboloduy;3;005;Almería (distrito);Almería;4
Alcudia de Monteagud;4;009;Almería (distrito);Almería;4
Alhabia;5;010;Almería (distrito);Almería;4
Alhama de Almería;6;011;Almería (distrito);Almería;4
Alicún;7;012;Almería (distrito);Almería;4
Almería (capital);8;013;Almería (distrito);Almería;4
Almócita;9;014;Almería (distrito);Almería;4
Alsodux;10;015;Almería (distrito);Almería;4
Beires;11;023;Almería (distrito);Almería;4
Benahadux;12;024;Almería (distrito);Almería;4
Benitagla;13;026;Almería (distrito);Almería;4
Benizalón;14;027;Almería (distrito);Almería;4
Bentarique;15;028;Almería (distrito);Almería;4
Canjáyar;16;030;Almería (distrito);Almería;4
Carboneras;17;032;Almería (distrito);Almería;4
Castro de Filabres;18;033;Almería (distrito);Almería;4
Fiñana;19;045;Almería (distrito);Almería;4
Gádor;20;047;Almería (distrito);Almería;4
Gérgal;21;050;Almería (distrito);Almería;4
Huécija;22;051;Almería (distrito);Almería;4
Huércal de Almería;23;052;Almería (distrito);Almería;4
Íllar;24;054;Almería (distrito);Almería;4
Instinción;25;055;Almería (distrito);Almería;4
Lubrín;26;059;Almería (distrito);Almería;4
Lucainena de las Torres;27;060;Almería (distrito);Almería;4
Nacimiento;28;065;Almería (distrito);Almería;4
Níjar;29;066;Almería (distrito);Almería;4
Ohanes;30;067;Almería (distrito);Almería;4
Olula de Castro;31;068;Almería (distrito);Almería;4
Padules;32;071;Almería (distrito);Almería;4
Pechina;33;074;Almería (distrito);Almería;4
Rágol;34;077;Almería (distrito);Almería;4
Rioja;35;078;Almería (distrito);Almería;4
Santa Cruz de Marchena;36;080;Almería (distrito);Almería;4
Santa Fe de Mondújar;37;081;Almería (distrito);Almería;4
Senés;38;082;Almería (distrito);Almería;4
Sorbas;39;086;Almería (distrito);Almería;4
Tabernas;40;088;Almería (distrito);Almería;4
Tahal;41;090;Almería (distrito);Almería;4
Terque;42;091;Almería (distrito);Almería;4
Tres Villas (Las);43;901;Almería (distrito);Almería;4
Turrillas;44;094;Almería (distrito);Almería;4
Uleila del Campo;45;095;Almería (distrito);Almería;4
Velefique;46;097;Almería (distrito);Almería;4
Viator;47;101;Almería (distrito);Almería;4
Albanchez;48;004;Levante-Alto Almanzora;Almería;4
Albox;49;006;Levante-Alto Almanzora;Almería;4
Alcóntar;50;008;Levante-Alto Almanzora;Almería;4
Antas;51;016;Levante-Alto Almanzora;Almería;4
Arboleas;52;017;Levante-Alto Almanzora;Almería;4
