confirmados_pdia;total_confirmados;hospitalizados;uci;fallecidos;cod_cuando;cod_donde_provincia
14;14;0;0;0;92;1
27;27;0;0;0;92;2
43;43;3;0;0;92;3
3;3;0;0;0;92;4
16;16;1;0;0;92;5
2;2;0;0;0;92;6
104;104;4;0;0;92;7
15;15;1;0;0;92;8
52;52;1;0;0;94;1
109;109;3;0;0;94;2
92;92;1;0;0;94;3
73;73;1;0;0;94;4
22;22;0;0;0;94;5
106;106;1;0;0;94;6
232;232;6;0;0;94;7
70;70;1;1;0;94;8
74;74;1;0;0;95;1
148;148;3;0;0;95;2
179;179;2;0;0;95;3
103;103;3;1;0;95;4
53;53;3;1;0;95;5
59;59;0;0;0;95;6
382;382;10;0;0;95;7
124;124;2;0;0;95;8
71;71;1;0;0;91;1
306;306;2;0;0;91;2
223;223;1;0;0;91;3
288;288;5;0;0;91;4
77;77;3;0;0;91;5
124;124;2;0;0;91;6
532;532;4;0;0;91;7
273;274;3;0;0;91;8
119;119;3;0;0;90;1
278;278;0;0;0;90;2
222;222;4;1;0;90;3
229;229;4;0;0;90;4
79;79;0;0;0;90;5
146;146;3;0;0;90;6
533;533;6;0;0;90;7
317;317;3;0;0;90;8
67;67;3;1;0;89;1
223;223;1;0;0;89;2
181;181;2;0;0;89;3
256;256;6;0;0;89;4
82;82;1;0;0;89;5
140;140;0;0;0;89;6
547;547;10;0;0;89;7
274;274;4;0;0;89;8
74;75;1;0;0;88;1
204;204;3;0;0;88;2
155;156;1;0;0;88;3
259;259;6;0;0;88;4
70;70;1;0;0;88;5
133;133;5;0;0;88;6
371;371;11;0;0;88;7
267;267;4;0;0;88;8
40;40;0;0;0;87;1
162;162;5;0;0;87;2
127;127;8;0;0;87;3
191;191;5;0;0;87;4
54;54;0;0;0;87;5
97;98;3;0;0;87;6
355;355;7;0;1;87;7
219;219;5;0;0;87;8
13;13;2;0;0;96;1
54;54;4;0;0;96;2
74;74;3;0;0;96;3
113;113;7;0;0;96;4
25;26;3;0;0;96;5
46;46;3;0;0;96;6
127;127;1;0;1;96;7
56;56;6;0;0;96;8
49;49;3;0;0;97;1
133;133;5;0;0;97;2
135;135;4;0;1;97;3
112;112;11;1;1;97;4
55;55;0;0;0;97;5
75;75;3;0;0;97;6
200;200;5;0;0;97;7
242;242;4;0;0;97;8
64;64;2;0;1;86;1
195;195;4;0;0;86;2
163;163;2;0;0;86;3
185;186;7;0;0;86;4
58;58;2;0;0;86;5
72;72;3;0;0;86;6
311;311;7;0;0;86;7
265;265;3;0;0;86;8
49;49;1;0;0;85;1
152;152;2;0;0;85;2
135;135;6;0;0;85;3
178;178;7;1;0;85;4
79;79;2;0;0;85;5
107;107;2;0;0;85;6
298;298;7;0;0;85;7
251;251;3;0;1;85;8
46;46;2;1;0;84;1
185;185;2;0;0;84;2
223;224;8;1;0;84;3
210;210;4;0;0;84;4
66;67;3;1;1;84;5
102;102;2;0;0;84;6
252;252;5;0;0;84;7
267;267;8;0;1;84;8
53;53;3;0;0;83;1
161;161;5;0;0;83;2
162;162;3;0;0;83;3
179;179;4;2;0;83;4
95;95;2;1;0;83;5
63;63;2;0;0;83;6
265;265;6;1;0;83;7
237;237;14;0;0;83;8
41;41;3;2;0;82;1
91;91;5;0;0;82;2
101;102;3;0;1;82;3
145;145;4;0;0;82;4
72;72;7;0;0;82;5
81;81;3;1;0;82;6
220;220;6;1;0;82;7
228;228;9;0;0;82;8
23;23;2;1;0;98;1
59;59;4;0;0;98;2
126;126;7;1;1;98;3
48;48;3;0;0;98;4
28;28;1;0;0;98;5
24;24;3;1;0;98;6
81;81;6;0;0;98;7
96;96;10;1;0;98;8
26;26;2;0;0;99;1
78;78;1;0;0;99;2
156;156;9;3;0;99;3
76;76;4;1;0;99;4
37;38;0;0;0;99;5
48;48;5;0;0;99;6
112;112;6;1;1;99;7
133;133;7;0;0;99;8
34;34;1;0;0;81;1
155;155;3;0;0;81;2
214;214;7;0;0;81;3
197;198;4;0;0;81;4
90;90;5;0;0;81;5
40;40;4;0;2;81;6
265;265;8;0;0;81;7
344;344;15;0;0;81;8
36;36;0;0;0;80;1
212;212;8;1;1;80;2
170;170;5;0;0;80;3
174;174;6;1;0;80;4
81;81;1;0;0;80;5
97;97;7;0;0;80;6
280;280;5;0;0;80;7
353;353;13;2;0;80;8
38;38;1;0;0;79;1
197;197;5;0;0;79;2
250;250;6;1;1;79;3
168;168;8;1;0;79;4
98;98;3;0;0;79;5
87;87;2;0;0;79;6
295;296;8;1;0;79;7
278;278;11;0;0;79;8
50;50;4;0;0;78;1
152;153;7;1;1;78;2
177;177;7;0;1;78;3
180;180;10;0;0;78;4
100;101;2;0;0;78;5
81;81;6;0;0;78;6
285;285;9;2;0;78;7
361;361;13;1;0;78;8
22;22;2;0;0;77;1
108;108;7;0;0;77;2
141;142;7;1;0;77;3
191;191;8;0;1;77;4
68;68;5;0;0;77;5
52;52;6;1;0;77;6
240;240;8;1;0;77;7
310;310;20;0;1;77;8
29;29;2;1;0;100;1
53;53;4;0;0;100;2
105;106;4;0;0;100;3
66;66;3;1;0;100;4
53;53;3;0;0;100;5
27;27;6;0;1;100;6
115;115;9;1;1;100;7
104;104;13;2;0;100;8
41;41;2;1;0;101;1
73;73;4;0;0;101;2
128;128;5;0;0;101;3
85;85;8;2;0;101;4
31;31;1;1;0;101;5
44;44;1;0;0;101;6
122;122;7;0;0;101;7
264;264;12;0;1;101;8
49;49;6;0;0;76;1
181;181;7;0;1;76;2
180;181;9;2;0;76;3
168;168;11;0;0;76;4
133;134;5;0;0;76;5
80;80;1;0;0;76;6
214;214;7;0;0;76;7
318;318;16;1;1;76;8
