confirmados_pdia;confirmados_pdia_14d;confirmados_pdia_7d;total_confirmados;fallecidos;curados;cod_cuando;cod_quien_profesionales
4;10;6;4;0;7;28;1
0;0;0;0;0;1;28;2
0;1;0;0;0;2;28;3
0;3;0;0;0;2;28;4
0;3;1;0;0;2;28;5
1;3;1;1;0;0;28;6
1;28;4;1;0;5;28;7
0;1;1;0;0;0;28;8
0;2;0;0;0;0;28;9
-1;36;1;-1;0;25;28;10
3;36;14;3;0;17;28;11
0;10;2;0;0;3;28;12
1;4;1;1;0;2;28;13
0;4;3;0;0;0;28;14
0;12;3;0;0;4;28;15
0;2;0;0;0;0;28;16
0;9;0;0;0;0;28;17
0;9;0;0;0;9;28;18
1;2;1;1;0;2;28;19
2;48;0;2;0;27;28;20
11;19;6;11;0;25;29;1
1;1;0;1;0;2;29;2
4;4;1;4;0;6;29;3
1;1;0;1;0;4;29;4
2;4;1;2;0;5;29;5
0;3;0;0;0;0;29;6
20;24;7;20;0;11;29;7
3;3;1;3;0;2;29;8
2;3;1;2;0;1;29;9
26;37;8;26;0;59;29;10
19;40;11;19;0;66;29;11
13;17;6;13;0;17;29;12
5;7;3;5;0;11;29;13
2;5;0;2;0;8;29;14
10;16;6;10;0;23;29;15
0;0;0;0;0;0;29;16
3;3;1;3;0;6;29;17
12;15;7;12;0;32;29;18
2;3;2;2;0;2;29;19
72;85;17;72;0;98;29;20
1;18;3;1;0;4;30;1
1;1;0;1;0;2;30;2
1;5;2;1;0;2;30;3
0;0;0;0;0;1;30;4
0;4;1;0;0;0;30;5
0;2;0;0;0;0;30;6
1;22;6;1;0;15;30;7
1;4;2;1;0;1;30;8
0;3;1;0;0;0;30;9
0;31;5;0;0;13;30;10
7;43;16;6;0;23;30;11
2;18;6;2;0;5;30;12
1;7;3;1;0;4;30;13
0;5;0;0;0;3;30;14
0;15;3;0;0;4;30;15
1;1;1;1;0;0;30;16
0;3;0;0;0;3;30;17
0;15;7;0;0;8;30;18
0;3;2;0;0;1;30;19
0;76;13;0;0;32;30;20
1;18;4;1;0;8;31;1
0;1;0;0;0;2;31;2
0;5;2;0;0;2;31;3
0;0;0;0;0;1;31;4
1;3;1;1;0;3;31;5
0;1;0;0;0;0;31;6
1;21;4;1;0;13;31;7
0;4;1;0;0;0;31;8
0;2;0;0;0;0;31;9
0;27;3;0;0;23;31;10
3;41;16;3;0;15;31;11
-1;16;4;-1;0;5;31;12
0;5;3;0;0;4;31;13
0;6;1;0;0;4;31;14
1;13;3;1;0;9;31;15
0;1;1;0;0;1;31;16
0;3;0;0;0;2;31;17
1;12;5;1;0;10;31;18
1;4;2;1;0;2;31;19
1;70;4;1;0;42;31;20
0;15;3;0;0;13;32;1
3;1;0;3;0;5;32;2
0;5;1;0;0;1;32;3
1;1;1;1;0;2;32;4
0;2;0;0;0;5;32;5
2;3;2;2;0;0;32;6
0;18;3;0;0;10;32;7
0;3;0;0;0;1;32;8
0;2;0;0;0;0;32;9
0;22;2;0;0;10;32;10
4;37;16;4;0;22;32;11
10;17;7;10;0;8;32;12
1;6;3;1;0;5;32;13
1;5;2;1;0;4;32;14
3;12;4;3;0;10;32;15
1;2;2;1;0;1;32;16
-1;2;0;-1;0;1;32;17
0;8;2;0;0;9;32;18
0;4;1;0;0;4;32;19
1;61;2;1;0;27;32;20
2;10;3;2;0;10;33;1
0;0;0;0;0;1;33;2
0;4;1;0;0;1;33;3
0;1;1;0;0;0;33;4
0;1;0;0;0;1;33;5
1;4;3;1;0;0;33;6
1;16;3;1;0;10;33;7
0;3;0;0;0;0;33;8
0;1;0;0;0;0;33;9
3;23;3;3;0;16;33;10
6;34;15;2;0;20;33;11
1;13;6;1;0;7;33;12
0;6;2;0;0;3;33;13
1;5;3;1;0;4;33;14
2;11;4;2;0;4;33;15
2;4;4;2;0;0;33;16
0;2;0;0;0;1;33;17
0;8;2;0;0;6;33;18
0;4;0;0;0;2;33;19
0;43;2;0;0;31;33;20
10;15;8;9;0;15;34;1
0;0;0;0;0;4;34;2
4;6;2;4;0;5;34;3
2;3;3;2;0;7;34;4
11;12;8;11;0;9;34;5
0;3;3;0;0;0;34;6
37;46;22;37;0;26;34;7
2;4;2;2;0;4;34;8
1;2;1;1;0;2;34;9
41;50;23;41;0;36;34;10
36;54;23;30;0;40;34;11
12;21;12;11;0;14;34;12
7;11;6;7;0;8;34;13
2;5;5;2;0;4;34;14
10;19;11;10;0;10;34;15
2;6;4;2;0;6;34;16
2;2;1;1;0;6;34;17
23;30;16;23;1;26;34;18
4;7;2;4;0;1;34;19
77;93;43;77;0;74;34;20
-1;11;3;-1;0;8;35;1
0;0;0;0;0;1;35;2
1;6;2;1;0;2;35;3
1;4;3;1;0;2;35;4
-1;11;4;-1;0;4;35;5
0;3;0;0;0;1;35;6
-1;40;4;-1;0;18;35;7
0;3;2;0;0;0;35;8
0;1;1;0;0;0;35;9
0;43;12;0;0;25;35;10
4;55;15;4;0;35;35;11
0;17;5;0;0;5;35;12
0;10;3;0;0;7;35;13
1;6;5;1;0;6;35;14
0;15;1;0;0;8;35;15
0;6;2;0;0;1;35;16
0;1;0;0;0;3;35;17
0;27;10;0;0;16;35;18
0;6;0;0;0;3;35;19
0;76;14;0;0;45;35;20
2;10;1;1;1;4;36;1
0;0;0;0;0;4;36;2
0;5;1;0;0;2;36;3
2;6;3;2;0;3;36;4
0;8;0;0;0;2;36;5
1;4;1;1;0;0;36;6
1;34;0;0;0;12;36;7
0;2;0;0;0;1;36;8
0;1;0;0;0;0;36;9
1;33;0;0;0;26;36;10
5;49;13;4;0;39;36;11
4;17;3;3;0;8;36;12
0;7;0;0;0;10;36;13
0;6;2;0;0;7;36;14
-1;12;0;-1;0;6;36;15
5;11;6;5;1;0;36;16
0;1;0;0;0;6;36;17
2;20;1;1;0;10;36;18
0;3;0;0;0;3;36;19
5;65;4;4;0;62;36;20
8;15;4;8;0;12;37;1
3;2;1;3;0;2;37;2
4;7;3;4;0;4;37;3
0;6;2;0;0;4;37;4
4;11;2;4;0;5;37;5
1;5;2;1;0;0;37;6
22;44;9;22;0;28;37;7
2;4;2;2;0;1;37;8
3;4;1;3;0;1;37;9
55;77;23;55;0;34;37;10
33;65;23;33;0;44;37;11
10;24;8;10;0;6;37;12
9;15;5;9;0;8;37;13
3;8;1;3;0;6;37;14
12;22;4;12;0;20;37;15
3;12;7;3;0;0;37;16
3;4;1;3;0;5;37;17
17;33;11;17;0;23;37;18
5;7;1;5;0;4;37;19
105;149;45;105;0;82;37;20
10;15;5;10;0;12;38;1
0;2;1;0;0;2;38;2
1;7;0;1;0;1;38;3
0;5;1;0;0;0;38;4
0;10;1;0;0;0;38;5
0;4;1;0;0;0;38;6
1;32;7;1;0;2;38;7
0;4;2;0;0;0;38;8
0;4;0;0;0;0;38;9
0;75;17;0;0;3;38;10
20;62;25;21;0;29;38;11
2;22;8;2;0;6;38;12
0;13;3;0;0;0;38;13
0;8;1;0;0;2;38;14
1;17;2;1;0;1;38;15
0;12;5;0;0;0;38;16
0;3;1;0;0;0;38;17
3;31;10;3;0;1;38;18
0;6;1;0;0;0;38;19
1;138;32;1;0;9;38;20
1;14;6;1;0;0;39;1
0;2;1;0;0;1;39;2
0;6;0;0;0;2;39;3
1;5;1;1;0;1;39;4
0;8;0;0;0;2;39;5
1;3;2;1;0;1;39;6
1;26;5;1;0;17;39;7
0;4;1;0;0;0;39;8
0;4;0;0;0;1;39;9
1;66;12;1;0;19;39;10
4;58;22;3;0;18;39;11
3;22;11;3;0;2;39;12
1;13;2;1;0;7;39;13
0;7;0;0;0;3;39;14
2;12;1;2;0;5;39;15
0;10;2;0;0;0;39;16
0;3;1;0;0;1;39;17
0;30;6;0;0;12;39;18
0;5;0;0;0;3;39;19
0;118;15;0;0;24;39;20
1;13;5;1;0;7;40;1
1;3;1;1;0;0;40;2
1;5;0;1;0;2;40;3
1;5;1;1;0;1;40;4
0;6;0;0;0;2;40;5
0;3;2;0;0;1;40;6
1;21;4;1;0;16;40;7
0;2;0;0;0;1;40;8
0;3;0;0;0;0;40;9
1;53;4;1;0;18;40;10
1;54;16;1;0;10;40;11
4;21;11;4;0;8;40;12
0;10;1;0;0;3;40;13
0;5;0;0;0;2;40;14
-1;9;2;-1;0;4;40;15
0;10;2;0;0;1;40;16
0;1;0;0;0;0;40;17
0;20;3;0;0;10;40;18
0;5;0;0;0;1;40;19
0;106;4;0;0;32;40;20
0;10;3;0;0;8;41;1
0;3;1;0;0;1;41;2
0;3;0;0;0;1;41;3
0;4;1;0;0;0;41;4
1;4;0;1;0;2;41;5
0;3;2;0;0;0;41;6
1;18;4;1;0;10;41;7
0;2;0;0;0;0;41;8
0;3;0;0;0;0;41;9
3;42;5;3;0;12;41;10
1;51;15;1;0;13;41;11
3;19;9;3;0;8;41;12
0;9;1;0;0;2;41;13
0;3;0;0;0;7;41;14
4;8;1;4;0;14;41;15
1;10;2;1;0;0;41;16
0;1;0;0;0;1;41;17
1;20;3;1;0;13;41;18
0;2;0;0;0;0;41;19
1;83;1;1;0;28;41;20
6;14;4;6;0;13;42;1
0;2;1;0;0;1;42;2
2;5;0;2;0;9;42;3
0;3;1;0;0;5;42;4
4;6;2;4;0;6;42;5
1;4;1;1;0;3;42;6
31;43;14;31;0;39;42;7
1;3;0;1;0;1;42;8
1;2;0;1;0;1;42;9
50;76;16;50;0;47;42;10
21;52;17;21;0;52;42;11
7;23;8;7;0;10;42;12
7;11;1;7;0;10;42;13
8;8;4;8;0;5;42;14
8;14;7;8;0;14;42;15
1;9;2;1;0;1;42;16
6;7;1;6;0;4;42;17
17;32;9;17;0;32;42;18
1;2;0;1;0;4;42;19
114;154;46;114;0;97;42;20
3;11;1;3;0;8;43;1
0;2;1;0;0;0;43;2
