confirmados_pdia;confirmados_pdia_14d;confirmados_pdia_7d;total_confirmados;curados;fallecidos;cod_donde_ds;cod_cuando;cod_residencia
0;0;0;0;0;0;1;14;1
0;0;0;0;0;0;2;14;1
0;0;0;0;0;0;3;14;1
0;0;0;0;1;0;4;14;1
0;0;0;0;0;0;5;14;1
0;0;0;0;0;0;6;14;1
0;0;0;0;0;0;7;14;1
0;0;0;0;0;0;8;14;1
0;0;0;0;0;0;9;14;1
0;0;0;0;2;0;10;14;1
0;0;0;0;0;0;11;14;1
0;0;0;0;0;0;12;14;1
0;0;0;0;0;0;13;14;1
0;0;0;0;0;0;14;14;1
0;0;0;0;0;0;15;14;1
0;1;0;0;0;0;16;14;1
0;0;0;0;0;0;17;14;1
0;0;0;0;0;0;18;14;1
0;0;0;0;0;0;19;14;1
0;0;0;0;0;0;20;14;1
0;0;0;0;0;0;21;14;1
0;0;0;0;0;0;22;14;1
4;0;0;3;3;0;23;14;1
0;0;0;0;0;0;24;14;1
-1;0;0;-1;-1;0;25;14;1
0;0;0;0;0;0;26;14;1
0;0;0;0;1;0;27;14;1
1;0;0;1;2;0;28;14;1
0;0;0;0;0;0;29;14;1
0;0;0;0;0;0;30;14;1
0;0;0;0;0;0;31;14;1
0;1;0;0;0;0;32;14;1
0;0;0;0;0;0;33;14;1
0;0;0;0;0;0;34;14;1
0;0;0;0;0;0;1;14;2
0;0;0;0;0;0;2;14;2
0;0;0;0;0;0;3;14;2
0;0;0;0;0;0;4;14;2
0;0;0;0;0;0;5;14;2
0;0;0;0;0;0;6;14;2
0;0;0;0;0;0;7;14;2
0;0;0;0;0;0;8;14;2
0;0;0;0;0;0;9;14;2
0;0;0;0;0;0;10;14;2
0;0;0;0;0;0;11;14;2
0;0;0;0;0;0;12;14;2
0;0;0;0;0;0;13;14;2
0;0;0;0;0;0;14;14;2
0;0;0;0;0;0;15;14;2
-1;0;0;-1;0;0;16;14;2
0;0;0;0;0;0;17;14;2
0;0;0;0;0;0;18;14;2
0;0;0;0;0;0;19;14;2
0;0;0;0;0;0;20;14;2
0;0;0;0;0;0;21;14;2
0;0;0;0;0;0;22;14;2
0;0;0;0;0;0;23;14;2
0;0;0;0;0;0;24;14;2
0;0;0;0;0;0;25;14;2
0;0;0;0;0;0;26;14;2
0;4;1;0;1;0;27;14;2
