"confirmados_pdia";"total_confirmados";"curados";"fallecidos";"cod_quien";"cod_cuando"
0;0;1;0;1;493
0;0;0;0;2;493
0;0;0;0;3;493
0;0;0;0;4;493
0;0;0;0;5;493
0;0;-1;1;6;493
0;0;0;0;7;493
0;0;0;0;8;493
0;0;0;0;9;493
0;0;0;0;10;493
0;0;0;0;11;493
0;0;0;0;12;493
0;0;0;0;13;493
0;0;0;0;14;493
0;0;0;0;15;493
0;0;0;0;16;493
0;0;0;0;17;493
0;0;0;0;18;493
0;0;0;0;19;493
0;0;0;0;20;493
0;0;0;0;21;493
0;0;0;0;22;493
0;0;0;0;23;493
0;0;0;0;24;493
0;0;0;0;25;493
0;0;0;0;26;493
0;0;0;0;27;493
0;0;0;0;28;493
0;0;0;0;29;493
0;0;0;0;30;493
0;0;0;0;31;493
0;0;0;0;32;493
0;0;0;0;33;493
0;0;0;0;34;493
0;0;0;0;35;493
0;0;0;0;36;493
0;0;0;0;1;494
0;0;2;0;2;494
0;0;0;0;3;494
0;0;1;0;4;494
0;0;0;0;5;494
0;0;0;0;6;494
0;0;0;0;7;494
0;0;0;0;8;494
0;0;0;0;9;494
0;0;0;0;10;494
0;0;0;0;11;494
0;0;0;0;12;494
0;0;0;0;13;494
0;0;0;0;14;494
0;0;0;0;15;494
0;0;1;0;16;494
0;0;0;0;17;494
0;0;0;0;18;494
0;0;1;0;19;494
0;0;4;0;20;494
0;0;1;0;21;494
0;0;2;0;22;494
0;0;5;0;23;494
0;0;8;0;24;494
0;0;2;0;25;494
0;0;3;0;26;494
0;0;0;0;27;494
0;0;0;0;28;494
0;0;0;0;29;494
0;0;0;0;30;494
0;0;0;0;31;494
0;0;0;0;32;494
0;0;0;0;33;494
0;0;1;0;34;494
0;0;0;0;35;494
0;0;0;0;36;494
0;0;0;0;1;495
0;0;0;0;2;495
0;0;1;0;3;495
-1;-1;-1;0;4;495
0;0;0;0;5;495
0;0;0;2;6;495
0;0;2;0;7;495
0;0;-1;1;8;495
0;0;0;0;9;495
1;1;3;0;10;495
0;0;0;0;11;495
0;0;0;0;12;495
0;0;0;0;13;495
0;0;0;0;14;495
0;0;0;0;15;495
0;0;0;0;16;495
0;0;0;0;17;495
0;0;0;0;18;495
0;0;1;0;19;495
0;0;0;0;20;495
0;0;1;0;21;495
0;0;1;1;22;495
0;0;10;0;23;495
0;0;5;0;24;495
0;0;1;0;25;495
0;0;0;0;26;495
0;0;0;0;27;495
0;0;0;0;28;495
0;0;0;0;29;495
0;0;0;0;30;495
0;0;0;0;31;495
0;0;4;0;32;495
0;0;1;0;33;495
0;0;2;0;34;495
0;0;1;0;35;495
0;0;1;0;36;495
0;0;0;0;1;496
0;0;0;0;2;496
0;0;-1;2;3;496
