n_personas_1_dosis;%personas_1_dosis;n_personas_pauta_completa;%personas_pauta_completa;cod_cuando;cod_donde_provincia;cod_quien_vacunas
42;103,80657720920532;33;100,3789195578113;57;1;1
27;106,29044254369654;101;103,75418371141689;57;2;1
12;103,99178280834609;75;101,93144284218158;57;3;1
29;103,21790557358769;55;100,67504331030088;57;8;1
15;105,81258854482898;34;103,32321392430683;57;4;1
18;101,29112967945994;81;99,211631969031771;57;5;1
73;99,966843941061796;171;96,844869431439903;57;6;1
47;105,89775124961919;445;102,7711645435364;57;7;1
226;98,506300885700455;1479;79,06507058254266;57;1;2
460;98,911253916830418;3880;76,922831802007536;57;2;2
155;98,20922923732769;4117;84,61586333509662;57;3;2
222;98,03111123523334;3638;79,660401597453017;57;8;2
63;100,45389998985698;2142;83,00030429049599;57;4;2
129;96,06367298811044;3668;82,358258818905369;57;5;2
677;91,519437239993195;6035;70,527513614565549;57;6;2
340;98,847520742588046;7169;74,677394146546973;57;7;2
815;83,47802122089017;49;10,490560837811769;57;1;3
3678;80,538833869146515;247;6,1614919340338465;57;2;3
2511;91,006947181155908;446;8,3839077612511677;57;3;3
648;85,294753177362637;146;9,7530791443219993;57;8;3
418;86,714574935706864;91;7,8537946632133799;57;4;3
645;90,398915352789885;288;9,0965000559096492;57;5;3
1878;73,343908150162406;233;5,7832378362629893;57;6;3
2868;86,099351111814514;641;8,1338529714330932;57;7;3
6103;33,88437952727778;193;7,5234674234455934;57;1;4
8842;28,514596587508013;374;7,3366988563225393;57;2;4
3295;29,9498333278326;410;8,510181854186607;57;3;4
3840;30,241486956833757;401;8,5047902687574002;57;8;4
1949;30,306090739589806;82;7,1654236585871143;57;4;4
3568;29,460792142457876;244;7,925417232292582;57;5;4
10021;27,811605516523549;391;6,2535278928721549;57;6;4
7724;28,147048805410929;675;7,197425220879067;57;7;4
776;10,84990304188012;160;4,7451593296865502;57;1;5
737;12,163859924437933;312;5,8515246211691707;57;2;5
490;13,865860833288762;319;6,3237799799815093;57;3;5
1100;13,274452199622013;721;6,2389675841894174;57;8;5
55;11,589486211000155;56;4,6334143943705692;57;4;5
398;13,51462083027641;196;5,8106962164016274;57;5;5
1021;10,75414855788226;355;4,8417950744106415;57;6;5
307;11,669248960287042;345;5,5050780339088776;57;7;5
81;4,8950675519322164;11;2,1627298456718704;57;1;6
86;5,4616442122628541;34;2,5306571350013747;57;2;6
28;6,4993829699712053;19;2,6000959824489236;57;3;6
90;5,9134423613881131;73;2,7936064733033223;57;8;6
12;5,5881662362056819;7;2,2253528475646345;57;4;6
63;5,2221953383337363;24;2,2864747157028793;57;5;6
134;4,7619447900205101;37;2,4906694462190244;57;6;6
46;4,9779849418397752;33;2,7897370055334205;57;7;6
0;0,27580772261623326;0;0,21670606776989756;57;1;7
0;0,21666907410082334;2;0,15527950310559005;57;2;7
2;0,24779402876828235;3;0,18735646077601836;57;3;7
3;0,24610336341263331;1;0,18970467596390483;57;8;7
0;0,28011204481792717;2;0,14457395861570435;57;4;7
0;0,163471541090801;0;0,11888839352058256;57;5;7
6;0,32761883243426443;4;0,23159262292766966;57;6;7
2;0,21850810107161953;2;0,14644691880331948;57;7;7
0;0,00076638336028448154;0;0;57;1;8
0;0,002395473513249364;0;0,00095818940529974561;57;2;8
0;0,0082734884336631703;0;0,0024820465300989508;57;3;8
0;0,003428649797709662;0;0,0020571898786257972;57;8;8
0;0,0093665847090504632;0;0,0011708230886313079;57;4;8
0;0,0032105477194409367;0;0,0010701825731469789;57;5;8
0;0,0046723261714959347;0;0,0028752776439974984;57;6;8
1;0,0047169255079539153;2;0,0035376941309654369;57;7;8
17;103,865674754919;23;100,45887506083571;58;1;1
