"Lugar de residencia";"Población";"Confirmados PDIA";"Confirmados PDIA 14 días";"Tasa PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Fecha"
"Abla";"1248";"0";"3";"240,38461538461539";"0";"0";"0";"0";"17/02/2021"
"Abrucena";"1183";"2";"7";"591,71597633136093";"4";"2";"1";"0";"17/02/2021"
"Alboloduy";"609";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Alcudia de Monteagud";"138";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Alhabia";"677";"0";"2";"295,42097488921712";"0";"0";"0";"0";"17/02/2021"
"Alhama de Almería";"3691";"0";"29";"785,69493362232458";"6";"0";"13";"0";"17/02/2021"
"Alicún";"201";"0";"1";"497,5124378109453";"0";"0";"0";"0";"17/02/2021"
"Almería (capital)";"201322";"64";"1306";"648,71201359016902";"406";"65";"91";"5";"17/02/2021"
"Almócita";"176";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Alsodux";"125";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Beires";"120";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Benahadux";"4481";"3";"20";"446,3289444320464";"6";"3";"3";"0";"17/02/2021"
"Benitagla";"58";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Benizalón";"262";"0";"1";"381,67938931297709";"0";"0";"0";"0";"17/02/2021"
"Bentarique";"240";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Canjáyar";"1189";"0";"3";"252,31286795626576";"2";"0";"0";"0";"17/02/2021"
"Carboneras";"8105";"2";"61";"752,6218383713757";"12";"2";"4";"0";"17/02/2021"
"Castro de Filabres";"120";"0";"0";"0";"0";"0";"0";"0";"17/02/2021"
"Fiñana";"1984";"0";"8";"403,22580645161293";"1";"0";"8";"0";"17/02/2021"
"Gádor";"3034";"0";"9";"296,6381015161503";"5";"0";"1";"0";"17/02/2021"
