"Sexo";"Categoría profesional";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Fallecidos";"Curados";"Fecha"
"Hombres";"Sanitario en centro sanitario";"4";"10";"6";"4";"0";"7";"31/03/2021"
"Hombres";"Sanitario en centro sociosanitario";"0";"0";"0";"0";"0";"1";"31/03/2021"
"Hombres";"Sanitario en otro centro";"0";"1";"0";"0";"0";"2";"31/03/2021"
"Hombres";"No sanitario en centro sanitario";"0";"3";"0";"0";"0";"2";"31/03/2021"
"Hombres";"No sanitario en centro sociosanitario";"0";"3";"1";"0";"0";"2";"31/03/2021"
"Hombres";"Atención al público";"1";"3";"1";"1";"0";"0";"31/03/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"1";"28";"4";"1";"0";"5";"31/03/2021"
"Hombres";"Personal de ayuda a domicilio";"0";"1";"1";"0";"0";"0";"31/03/2021"
"Hombres";"Personal de oficina de farmacia";"0";"2";"0";"0";"0";"0";"31/03/2021"
"Hombres";"Otra profesión de riesgo";"-1";"36";"1";"-1";"0";"25";"31/03/2021"
"Mujeres";"Sanitario en centro sanitario";"3";"36";"14";"3";"0";"17";"31/03/2021"
"Mujeres";"Sanitario en centro sociosanitario";"0";"10";"2";"0";"0";"3";"31/03/2021"
"Mujeres";"Sanitario en otro centro";"1";"4";"1";"1";"0";"2";"31/03/2021"
"Mujeres";"No sanitario en centro sanitario";"0";"4";"3";"0";"0";"0";"31/03/2021"
"Mujeres";"No sanitario en centro sociosanitario";"0";"12";"3";"0";"0";"4";"31/03/2021"
"Mujeres";"Atención al público";"0";"2";"0";"0";"0";"0";"31/03/2021"
"Mujeres";"Fuerzas Armadas y Cuerpos de Seguridad";"0";"9";"0";"0";"0";"0";"31/03/2021"
"Mujeres";"Personal de ayuda a domicilio";"0";"9";"0";"0";"0";"9";"31/03/2021"
"Mujeres";"Personal de oficina de farmacia";"1";"2";"1";"1";"0";"2";"31/03/2021"
"Mujeres";"Otra profesión de riesgo";"2";"48";"0";"2";"0";"27";"31/03/2021"
"Hombres";"Sanitario en centro sanitario";"11";"19";"6";"11";"0";"25";"05/04/2021"
"Hombres";"Sanitario en centro sociosanitario";"1";"1";"0";"1";"0";"2";"05/04/2021"
"Hombres";"Sanitario en otro centro";"4";"4";"1";"4";"0";"6";"05/04/2021"
"Hombres";"No sanitario en centro sanitario";"1";"1";"0";"1";"0";"4";"05/04/2021"
"Hombres";"No sanitario en centro sociosanitario";"2";"4";"1";"2";"0";"5";"05/04/2021"
"Hombres";"Atención al público";"0";"3";"0";"0";"0";"0";"05/04/2021"
"Hombres";"Fuerzas Armadas y Cuerpos de Seguridad";"20";"24";"7";"20";"0";"11";"05/04/2021"
"Hombres";"Personal de ayuda a domicilio";"3";"3";"1";"3";"0";"2";"05/04/2021"
"Hombres";"Personal de oficina de farmacia";"2";"3";"1";"2";"0";"1";"05/04/2021"
"Hombres";"Otra profesión de riesgo";"26";"37";"8";"26";"0";"59";"05/04/2021"
