"Territorio";"Confirmados PDIA";"Confirmados PDIA 14 días";"Confirmados PDIA 7 días";"Total Confirmados";"Curados";"Fallecidos";"Vive en residencia";"Fecha"
"Almería (distrito)";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Levante-Alto Almanzora";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Poniente de Almería";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Campo de Gibraltar Este";"0";"0";"0";"0";"1";"0";"Residencias de mayores";"10/03/2021"
"Campo de Gibraltar Oeste";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Bahía de Cádiz-La Janda";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Jerez-Costa Noroeste";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Sierra de Cádiz";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Córdoba (distrito)";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Córdoba Sur";"0";"0";"0";"0";"2";"0";"Residencias de mayores";"10/03/2021"
"Guadalquivir";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Córdoba Norte";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Granada Sur";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Granada Nordeste";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Granada (distrito)";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Metropolitano de Granada";"0";"1";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Sierra de Huelva-Andévalo Central";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Condado-Campiña";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
"Huelva-Costa";"0";"0";"0";"0";"0";"0";"Residencias de mayores";"10/03/2021"
