"Vive en residencia";"Edad";"Confirmados PDIA";"Total Confirmados";"Curados";"Fallecidos";"Sexo";"Fecha"
"Residencias de mayores";"Menos de 65 años";"0";"0";"1";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"-1";"1";"Hombres";"31/03/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Hombres";"31/03/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"Menos de 65 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 65 a 69 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 70 a 74 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 75 a 79 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 80 a 84 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 85 a 89 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 90 a 94 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 95 a 99 años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Otro tipo de institución";"De 100 y más años";"0";"0";"0";"0";"Mujeres";"31/03/2021"
"Residencias de mayores";"Menos de 65 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 65 a 69 años";"0";"0";"2";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 70 a 74 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 75 a 79 años";"0";"0";"1";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 80 a 84 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 85 a 89 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 90 a 94 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 95 a 99 años";"0";"0";"0";"0";"Hombres";"05/04/2021"
"Residencias de mayores";"De 100 y más años";"0";"0";"0";"0";"Hombres";"05/04/2021"
