"Provincia";"Num personas con 1 dosis";"% personas con 1 dosis";"Edad";"Num personas con pauta completa";"% personas con pauta completa";"Fecha"
"Almería";"42";"103,80657720920532";"80+";"33";"100,3789195578113";"17/05/2021"
"Cádiz";"27";"106,29044254369654";"80+";"101";"103,75418371141689";"17/05/2021"
"Córdoba";"12";"103,99178280834609";"80+";"75";"101,93144284218158";"17/05/2021"
"Granada";"29";"103,21790557358769";"80+";"55";"100,67504331030088";"17/05/2021"
"Huelva";"15";"105,81258854482898";"80+";"34";"103,32321392430683";"17/05/2021"
"Jaén";"18";"101,29112967945994";"80+";"81";"99,211631969031771";"17/05/2021"
"Málaga";"73";"99,966843941061796";"80+";"171";"96,844869431439903";"17/05/2021"
"Sevilla";"47";"105,89775124961919";"80+";"445";"102,7711645435364";"17/05/2021"
"Almería";"226";"98,506300885700455";"De 70 a 79 años";"1479";"79,06507058254266";"17/05/2021"
"Cádiz";"460";"98,911253916830418";"De 70 a 79 años";"3880";"76,922831802007536";"17/05/2021"
"Córdoba";"155";"98,20922923732769";"De 70 a 79 años";"4117";"84,61586333509662";"17/05/2021"
"Granada";"222";"98,03111123523334";"De 70 a 79 años";"3638";"79,660401597453017";"17/05/2021"
"Huelva";"63";"100,45389998985698";"De 70 a 79 años";"2142";"83,00030429049599";"17/05/2021"
"Jaén";"129";"96,06367298811044";"De 70 a 79 años";"3668";"82,358258818905369";"17/05/2021"
"Málaga";"677";"91,519437239993195";"De 70 a 79 años";"6035";"70,527513614565549";"17/05/2021"
"Sevilla";"340";"98,847520742588046";"De 70 a 79 años";"7169";"74,677394146546973";"17/05/2021"
"Almería";"815";"83,47802122089017";"De 60 a 69 años";"49";"10,490560837811769";"17/05/2021"
"Cádiz";"3678";"80,538833869146515";"De 60 a 69 años";"247";"6,1614919340338465";"17/05/2021"
"Córdoba";"2511";"91,006947181155908";"De 60 a 69 años";"446";"8,3839077612511677";"17/05/2021"
"Granada";"648";"85,294753177362637";"De 60 a 69 años";"146";"9,7530791443219993";"17/05/2021"
"Huelva";"418";"86,714574935706864";"De 60 a 69 años";"91";"7,8537946632133799";"17/05/2021"
"Jaén";"645";"90,398915352789885";"De 60 a 69 años";"288";"9,0965000559096492";"17/05/2021"
"Málaga";"1878";"73,343908150162406";"De 60 a 69 años";"233";"5,7832378362629893";"17/05/2021"
"Sevilla";"2868";"86,099351111814514";"De 60 a 69 años";"641";"8,1338529714330932";"17/05/2021"
"Almería";"6103";"33,88437952727778";"De 50 a 59 años";"193";"7,5234674234455934";"17/05/2021"
